Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-55-8089-01A-11D-2238-08	455	236	370	28	141	26	28	21
TCGA-55-8090-01A-11D-2238-08	30	0	0	21	22	13	5	1
TCGA-55-8091-01A-11D-2238-08	0	1	1	0	0	0	19	0
TCGA-55-8092-01A-11D-2238-08	236	4	123	85	52	7	55	40
TCGA-55-8094-01A-11D-2238-08	244	62	11	66	15	20	20	39
TCGA-55-8096-01A-11D-2238-08	42	35	5	6	40	0	17	5
TCGA-55-8097-01A-11D-2238-08	16	38	9	0	13	1	34	2
TCGA-55-8203-01A-11D-2238-08	232	94	0	30	47	17	32	0
TCGA-55-8204-01A-11D-2238-08	39	0	75	37	43	22	16	0
TCGA-55-8206-01A-11D-2238-08	1	6	3	3	0	0	9	4
TCGA-55-8208-01A-11D-2238-08	27	30	146	51	46	32	5	1
TCGA-55-8299-01A-11D-2284-08	87	1	8	70	5	12	0	7
TCGA-55-8301-01A-11D-2284-08	110	30	25	40	49	24	9	7
TCGA-55-8506-01A-11D-2393-08	798	133	16	164	4	131	488	26
TCGA-55-8507-01A-11D-2393-08	528	197	25	165	28	24	44	23
TCGA-55-8510-01A-11D-2393-08	161	23	24	17	66	25	7	1
TCGA-55-8511-01A-11D-2393-08	282	12	66	108	41	9	28	38
TCGA-55-8512-01A-11D-2393-08	6	7	4	0	16	6	1	0
TCGA-55-8514-01A-11D-2393-08	128	40	6	2	82	4	34	0
TCGA-55-8614-01A-11D-2393-08	31	20	26	11	78	35	46	0
TCGA-55-8615-01A-11D-2393-08	26	21	1	14	32	14	8	11
TCGA-55-8616-01A-11D-2393-08	319	39	11	94	22	0	38	0
TCGA-55-8620-01A-11D-2393-08	198	128	19	0	91	38	41	7
TCGA-55-8621-01A-11D-2393-08	23	0	3	19	0	3	5	0
TCGA-55-A48X-01A-11D-A24D-08	203	59	25	0	67	19	9	6
TCGA-55-A48Y-01A-11D-A24D-08	0	0	318	0	25	0	25	0
TCGA-55-A48Z-01A-12D-A24P-08	10	3	3	10	5	7	14	5
TCGA-55-A490-01A-11D-A24D-08	892	0	103	208	95	30	30	13
TCGA-55-A491-01A-11D-A24D-08	189	50	28	38	14	41	21	14
TCGA-55-A492-01A-11D-A24D-08	128	19	15	0	63	46	11	8
TCGA-55-A493-01A-11D-A24D-08	78	43	65	0	29	20	19	14
TCGA-55-A494-01A-11D-A24P-08	104	39	13	0	31	0	50	11
TCGA-55-A4DF-01A-11D-A24D-08	91	37	545	29	75	17	40	5
TCGA-55-A4DG-01A-11D-A24D-08	398	83	13	119	45	40	25	0
TCGA-55-A57B-01A-12D-A397-08	1	5	6	1	4	2	15	3
TCGA-62-8394-01A-11D-2323-08	12	0	38	35	22	3	17	10
TCGA-62-8395-01A-11D-2323-08	0	0	16	13	16	1	27	0
TCGA-62-8397-01A-11D-2323-08	1	9	2	0	0	1	8	4
TCGA-62-8398-01A-11D-2323-08	30	0	10	15	1	10	10	8
TCGA-62-8399-01A-21D-2323-08	133	125	199	42	2	0	47	1
TCGA-62-8402-01A-11D-2323-08	0	2	6	3	20	6	15	5
TCGA-62-A46O-01A-11D-A24D-08	404	96	154	92	78	59	34	18
TCGA-62-A46P-01A-11D-A24D-08	158	40	3	32	13	12	26	0
TCGA-62-A46R-01A-11D-A24D-08	41	39	26	0	15	18	22	11
TCGA-62-A46S-01A-11D-A24D-08	48	2	11	32	0	0	19	14
TCGA-62-A46U-01A-11D-A24D-08	2	9	8	0	13	0	12	0
TCGA-62-A46V-01A-11D-A24D-08	0	12	6	9	4	0	17	9
TCGA-62-A46Y-01A-11D-A24D-08	4	0	0	0	9	0	10	9
TCGA-62-A471-01A-12D-A24D-08	0	2	56	36	0	7	14	8
TCGA-62-A472-01A-11D-A24D-08	7	0	3	6	23	3	9	6
TCGA-64-1676-01A-01D-0969-08	322	93	13	0	141	38	17	4
TCGA-64-1676-01A-01W-0928-08	311	88	13	0	142	32	15	4
TCGA-64-1677-01A-01W-0928-08	41	0	76	39	24	17	17	0
TCGA-64-1678-01A-01W-0928-08	271	37	35	0	45	19	10	20
TCGA-64-1679-01A-21D-2063-08	306	0	29	118	65	0	9	0
TCGA-64-1680-01A-02D-0969-08	0	5	16	0	14	0	17	0
