Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-DM-A1DA-01A-11D-A152-10	41	14	0	14	6	28	90	78	26
TCGA-DM-A1DB-01A-11D-A152-10	2	12	2	6	0	0	13	24	2
TCGA-DM-A1HA-01A-11D-A152-10	11	40	5	0	2	5	27	54	6
TCGA-DM-A28C-01A-11D-A16V-10	8	30	4	0	0	0	16	28	16
TCGA-DM-A28E-01A-11D-A16V-10	0	19	3	8	15	8	26	2	1
TCGA-DM-A28F-01A-11D-A16V-10	7	1	10	18	10	15	18	136	33
TCGA-DM-A28G-01A-11D-A16V-10	14	35	0	8	9	5	42	8	8
TCGA-DM-A28H-01A-11D-A16V-10	7	24	3	8	0	4	0	45	29
TCGA-DM-A28M-01A-12D-A16V-10	7	40	1	7	0	2	0	17	19
TCGA-F4-6459-01A-11D-1771-10	0	11	2	23	11	0	27	34	19
TCGA-F4-6460-01A-11D-1771-10	15	14	12	17	4	0	44	39	11
TCGA-F4-6461-01A-11D-1771-10	23	37	1	6	12	8	4	14	44
TCGA-F4-6569-01A-11D-1771-10	0	16	7	9	9	12	19	33	16
TCGA-F4-6570-01A-11D-1771-10	697	288	0	79	219	68	142	40	74
TCGA-F4-6805-01A-11D-1835-10	7	24	0	0	9	6	23	0	2
TCGA-F4-6806-01A-11D-1835-10	1	48	0	0	5	14	0	11	29
TCGA-F4-6807-01A-11D-1835-10	19	0	0	0	12	31	83	6	22
TCGA-F4-6808-01A-11D-1835-10	11	42	0	6	1	10	61	7	0
TCGA-F4-6854-01A-11D-1924-10	9	9	0	9	10	2	56	0	24
TCGA-F4-6855-01A-11D-1924-10	7	19	4	8	0	0	24	35	12
TCGA-G4-6293-01A-11D-1719-10	6	31	8	2	6	0	12	24	33
TCGA-G4-6294-01A-11D-1806-10	13	4	0	14	4	10	6	109	0
TCGA-G4-6295-01A-11D-1719-10	2	13	0	17	17	9	30	51	12
TCGA-G4-6297-01A-11D-1719-10	0	30	0	16	6	11	18	0	8
TCGA-G4-6298-01A-11D-1719-10	4	38	4	0	2	2	11	0	16
TCGA-G4-6299-01A-11D-1771-10	20	14	5	19	1	0	30	74	0
TCGA-G4-6303-01A-11D-1771-10	1	43	8	8	2	4	26	0	14
TCGA-G4-6304-01A-11D-1924-10	388	161	14	36	148	0	72	0	55
TCGA-G4-6306-01A-11D-1771-10	18	35	0	4	11	12	9	28	7
TCGA-G4-6307-01A-11D-1719-10	10	8	7	10	0	0	23	20	0
TCGA-G4-6309-01A-21D-1835-10	190	361	0	0	127	11	53	0	6
TCGA-G4-6310-01A-11D-1719-10	6	40	0	11	0	12	8	15	18
TCGA-G4-6311-01A-11D-1719-10	14	16	5	6	0	8	64	39	0
TCGA-G4-6314-01A-11D-1719-10	7	55	0	5	6	19	6	32	21
TCGA-G4-6315-01A-11D-1719-10	11	44	5	0	4	11	30	27	20
TCGA-G4-6317-01A-11D-1719-10	0	45	4	1	3	2	22	0	30
TCGA-G4-6317-02A-11D-2067-10	13	12	1	8	0	16	12	68	1
TCGA-G4-6320-01A-11D-1719-10	346	376	8	27	43	38	156	0	65
TCGA-G4-6321-01A-11D-1719-10	3	17	0	5	0	5	22	0	11
TCGA-G4-6323-01A-11D-1719-10	20	23	2	0	1	0	13	24	4
TCGA-G4-6586-01A-11D-1771-10	348	349	0	26	279	36	42	7	5
TCGA-G4-6588-01A-11D-1771-10	949	258	0	40	574	53	24	33	92
TCGA-G4-6625-01A-21D-1771-10	6	21	0	5	4	3	39	21	13
TCGA-G4-6626-01A-11D-1771-10	17	57	0	0	0	0	30	16	20
TCGA-G4-6627-01A-11D-2188-10	3	31	0	0	4	17	26	0	8
TCGA-G4-6628-01A-11D-1835-10	1157	337	50	0	171	0	0	80	148
TCGA-NH-A50T-01A-11D-A28G-10	7	57	7	27	0	0	50	0	0
TCGA-NH-A50V-01A-11D-A28G-10	17	59	0	0	4	28	21	23	18
TCGA-NH-A6GA-01A-11D-A36X-10	4	19	3	10	0	0	37	12	6
TCGA-NH-A6GB-01A-11D-A36X-10	8	52	0	6	7	12	21	7	53
TCGA-NH-A8F7-06A-31D-A40P-10	0	43	0	12	4	19	13	0	19
TCGA-NH-A8F8-01A-72D-A40P-10	13	25	0	3	0	0	38	24	2
