Samples	SBS96A	SBS96B	SBS96C
TCGA-64-1679-01A-21D-2063-08	447	48	32
TCGA-64-1680-01A-02D-0969-08	4	18	30
TCGA-64-1680-01A-02W-0928-08	7	14	25
TCGA-64-1681-01A-11D-2063-08	13	25	27
TCGA-64-5774-01A-01D-1625-08	110	7	27
TCGA-64-5775-01A-01D-1625-08	414	31	61
TCGA-64-5778-01A-01D-1625-08	386	45	55
TCGA-64-5781-01A-01D-1625-08	864	183	105
TCGA-64-5815-01A-01D-1625-08	125	6	50
TCGA-67-3770-01A-01D-0969-08	167	12	54
TCGA-67-3770-01A-01W-0928-08	161	12	53
TCGA-67-3771-01A-01D-1040-01	576	401	163
TCGA-67-3771-01A-01W-0928-08	584	411	186
TCGA-67-3773-01A-01D-1040-01	64	6	32
TCGA-67-3774-01A-01D-1040-01	72	12	34
TCGA-67-3774-01A-01W-0928-08	64	7	32
TCGA-67-4679-01B-01D-1753-08	226	17	49
TCGA-67-6215-01A-11D-1753-08	11	12	86
TCGA-67-6216-01A-11D-1753-08	3	11	12
TCGA-67-6217-01A-11D-1753-08	150	11	31
TCGA-69-7760-01A-11D-2167-08	17	8	46
TCGA-69-7764-01A-11D-2167-08	31	11	49
TCGA-69-7765-01A-11D-2167-08	536	79	25
TCGA-69-7973-01A-11D-2184-08	215	13	37
TCGA-69-7974-01A-11D-2184-08	397	42	89
TCGA-69-7978-01A-11D-2184-08	365	194	57
TCGA-69-8253-01A-11D-2284-08	103	28	36
TCGA-69-8254-01A-11D-2284-08	24	6	45
TCGA-69-8255-01A-11D-2284-08	160	56	84
TCGA-69-A59K-01A-11D-A25L-08	397	56	55
TCGA-71-6725-01A-11D-1855-08	2	6	49
TCGA-71-8520-01A-11D-2393-08	17	17	58
TCGA-73-4658-01A-01D-1753-08	156	153	23
TCGA-73-4659-01A-01D-1265-08	164	14	44
TCGA-73-4662-01A-01D-1265-08	158	24	31
TCGA-73-4670-01A-01D-1265-08	256	31	79
TCGA-73-4675-01A-01D-1265-08	21	6	42
TCGA-73-4676-01A-01D-1753-08	41	7	50
TCGA-73-4677-01A-01D-1265-08	191	23	51
TCGA-73-7498-01A-12D-2184-08	69	5	43
TCGA-75-5122-01A-01D-1753-08	59	27	48
TCGA-75-5125-01A-01D-1753-08	71	48	45
TCGA-75-5126-01A-01D-1753-08	400	183	39
TCGA-75-5146-01A-01D-1625-08	162	17	14
TCGA-75-5147-01A-01D-1625-08	1	13	22
TCGA-75-6203-01A-11D-1753-08	0	0	13
TCGA-75-6205-01A-11D-1753-08	12	8	23
TCGA-75-6206-01A-11D-1753-08	60	14	18
TCGA-75-6207-01A-11D-1753-08	14	17	27
TCGA-75-6211-01A-11D-1753-08	308	28	56
TCGA-75-6214-01A-41D-1945-08	448	202	85
TCGA-75-7025-01A-12D-1945-08	0	7	23
TCGA-75-7027-01A-11D-1945-08	180	17	53
TCGA-75-7030-01A-11D-1945-08	2	0	6
TCGA-78-7145-01A-11D-2036-08	143	16	38
TCGA-78-7146-01A-11D-2036-08	210	104	68
TCGA-78-7147-01A-11D-2036-08	206	72	85
TCGA-78-7148-01A-11D-2036-08	158	18	44
TCGA-78-7149-01A-11D-2036-08	39	82	27
TCGA-78-7150-01A-21D-2036-08	169	174	92
TCGA-78-7152-01A-11D-2036-08	86	95	25
TCGA-78-7153-01A-11D-2036-08	27	31	46
TCGA-78-7154-01A-11D-2036-08	52	120	94
