Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-CK-5915-01A-11D-1650-10	0	0	46	42
TCGA-CK-5916-01A-11D-1650-10	824	0	561	0
TCGA-CK-6746-01A-11D-1835-10	826	26	250	22
TCGA-CK-6747-01A-11D-1835-10	0	8	82	36
TCGA-CM-4743-01A-01D-1719-10	633	0	325	156
TCGA-CM-4744-01A-01D-1408-10	0	9	60	80
TCGA-CM-4746-01A-01D-1408-10	282	0	440	0
TCGA-CM-4747-01A-01D-1408-10	0	0	65	35
TCGA-CM-4751-01A-02D-1835-10	24	0	70	0
TCGA-CM-4752-01A-01D-1408-10	0	10	64	57
TCGA-CM-5341-01A-01D-1408-10	0	0	63	98
TCGA-CM-5348-01A-21D-1719-10	3	22	66	96
TCGA-CM-5349-01A-21D-1719-10	0	9	60	35
TCGA-CM-5860-01A-01D-1650-10	0	8	44	65
TCGA-CM-5861-01A-01D-1650-10	1160	35	182	35
TCGA-CM-5862-01A-01D-1650-10	0	0	49	42
TCGA-CM-5864-01A-01D-1650-10	53	19	23	112
TCGA-CM-5868-01A-01D-1650-10	24	8	27	41
TCGA-CM-6161-01A-11D-1650-10	0	0	30	69
TCGA-CM-6163-01A-11D-1650-10	0	0	40	66
TCGA-CM-6164-01A-11D-1650-10	9	11	21	35
TCGA-CM-6165-01A-11D-1650-10	32	3	20	54
TCGA-CM-6166-01A-11D-1650-10	23	9	36	16
TCGA-CM-6167-01A-11D-1650-10	2	1	36	40
TCGA-CM-6168-01A-11D-1650-10	68	6	42	104
TCGA-CM-6169-01A-11D-1650-10	16	1	47	48
TCGA-CM-6170-01A-11D-1650-10	0	0	36	62
TCGA-CM-6171-01A-11D-1650-10	511	0	480	180
TCGA-CM-6172-01A-11D-1650-10	1	12	42	51
TCGA-CM-6674-01A-11D-1835-10	401	0	428	0
TCGA-CM-6675-01A-11D-1835-10	0	0	28	50
TCGA-CM-6676-01A-11D-1835-10	9	11	59	25
TCGA-CM-6677-01A-11D-1835-10	16	13	80	33
