Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-G4-6628-01A-11D-1835-10	1483	425	35	0	0
TCGA-NH-A50T-01A-11D-A28G-10	0	68	7	27	46
TCGA-NH-A50V-01A-11D-A28G-10	21	76	14	0	59
TCGA-NH-A6GA-01A-11D-A36X-10	0	27	3	11	50
TCGA-NH-A6GB-01A-11D-A36X-10	13	54	4	15	80
TCGA-NH-A8F7-06A-31D-A40P-10	0	47	8	17	38
TCGA-NH-A8F8-01A-72D-A40P-10	8	44	0	0	53
TCGA-QG-A5YV-01A-11D-A28G-10	21	69	11	7	63
TCGA-QG-A5YW-01A-11D-A28G-10	22	47	15	6	72
TCGA-QG-A5YX-01A-11D-A28G-10	0	57	5	0	34
TCGA-QG-A5Z2-01A-11D-A28G-10	595	335	18	20	71
TCGA-QL-A97D-01A-12D-A40P-10	48	63	24	13	86
TCGA-SS-A7HO-01A-21D-A36X-10	21	52	7	0	92
TCGA-T9-A92H-01A-11D-A36X-10	41	38	8	3	96
