Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-17-Z049-01A-01W-0746-08	278	67	51	33	66	6	8
TCGA-17-Z050-01A-01W-0747-08	58	7	0	26	51	22	9
TCGA-17-Z051-01A-01W-0747-08	43	36	16	8	25	9	0
TCGA-17-Z052-01A-01W-0747-08	56	27	4	0	27	1	3
TCGA-17-Z053-01A-01W-0747-08	81	51	36	24	42	21	0
TCGA-17-Z054-01A-01W-0747-08	0	0	3	0	0	1	0
TCGA-17-Z055-01A-01W-0747-08	330	0	133	14	134	11	13
TCGA-17-Z056-01A-01W-0747-08	175	102	60	77	50	7	8
TCGA-17-Z057-01A-01W-0747-08	62	1	90	194	46	21	0
TCGA-17-Z058-01A-01W-0747-08	31	12	4	3	14	9	5
TCGA-17-Z059-01A-01W-0747-08	82	8	19	32	0	11	7
TCGA-17-Z061-01A-01W-0747-08	24	58	37	10	43	0	10
TCGA-17-Z062-01A-01W-0747-08	256	7	92	14	54	6	14
TCGA-35-4122-01A-01D-1105-08	63	102	39	35	66	14	11
TCGA-35-4123-01A-01D-1105-08	146	92	48	0	2	16	0
TCGA-35-5375-01A-01D-1625-08	165	61	55	30	59	31	39
TCGA-38-4625-01A-01D-1553-08	419	0	0	122	30	20	20
TCGA-38-4626-01A-01D-1553-08	138	0	61	3	5	0	11
TCGA-38-4627-01A-01D-1553-08	4	0	1	4	1	14	4
TCGA-38-4628-01A-01D-1265-08	10	25	47	13	0	27	4
TCGA-38-4629-01A-02D-1265-08	96	29	76	22	9	29	24
TCGA-38-4630-01A-01D-1265-08	14	0	19	53	0	30	9
TCGA-38-4631-01A-01D-1753-08	444	224	66	1	33	5	1
TCGA-38-4632-01A-01D-1753-08	235	113	63	21	40	16	38
TCGA-38-6178-01A-11D-1753-08	5	26	1	3	6	11	2
TCGA-38-7271-01A-11D-2036-08	22	0	13	19	0	0	0
TCGA-44-2655-01A-01D-1553-08	132	20	0	11	16	6	3
TCGA-44-2655-01A-01W-0928-08	130	6	13	13	23	6	4
TCGA-44-2656-01A-02D-0969-08	552	0	278	0	16	34	35
TCGA-44-2656-01A-02D-A271-08	516	0	252	0	25	25	15
TCGA-44-2656-01A-02W-0928-08	487	0	261	0	16	11	34
TCGA-44-2656-01A-12D-A27T-08	520	0	274	0	23	30	26
TCGA-44-2656-01A-41D-A27T-08	553	0	253	0	38	30	20
TCGA-44-2656-01B-06D-A271-08	462	0	221	10	27	12	25
TCGA-44-2657-01A-01D-1105-08	272	30	23	38	32	23	1
TCGA-44-2661-01A-01D-1105-08	0	9	5	4	10	8	7
TCGA-44-2662-01A-01D-0969-08	16	0	64	140	0	2	4
TCGA-44-2662-01A-01D-A271-08	15	9	64	121	5	0	3
TCGA-44-2662-01A-01W-0928-08	21	0	50	124	8	0	4
TCGA-44-2662-01B-02D-A271-08	7	20	43	112	1	1	6
TCGA-44-2665-01A-01D-1040-01	0	2	0	11	15	16	3
TCGA-44-2665-01A-01D-A271-08	1	0	0	13	16	16	2
TCGA-44-2665-01A-01W-0928-08	0	0	0	13	26	10	3
TCGA-44-2665-01B-06D-A271-08	0	1	0	14	21	12	4
TCGA-44-2666-01A-01D-1489-08	1	0	6	2	9	9	3
TCGA-44-2666-01A-01D-A271-08	0	0	10	2	5	8	2
TCGA-44-2666-01A-01W-0928-08	0	0	10	3	5	11	3
TCGA-44-2666-01A-21D-A27T-08	4	0	5	3	5	13	4
TCGA-44-2666-01A-41D-A27T-08	0	1	6	4	9	10	4
TCGA-44-2666-01B-02D-A271-08	1	2	5	1	0	10	6
TCGA-44-2668-01A-01D-0969-08	200	0	80	71	22	13	16
TCGA-44-2668-01A-01D-A271-08	187	0	84	64	2	9	17
TCGA-44-2668-01A-01W-0928-08	214	0	79	72	11	9	12
TCGA-44-2668-01B-02D-A271-08	127	0	51	37	7	3	11
TCGA-44-3396-01A-01D-1553-08	29	20	32	79	0	31	2
TCGA-44-3398-01A-01D-1105-08	88	0	0	54	33	16	0
TCGA-44-3917-01A-01D-A271-08	80	9	94	16	20	13	0
TCGA-44-3917-01B-02D-A271-08	79	1	106	19	19	15	0
TCGA-44-3918-01B-02D-A271-08	654	0	138	72	44	13	6
TCGA-44-3919-01A-02D-1105-08	2	2	6	3	16	3	1
TCGA-44-3919-01A-02D-1458-08	0	0	16	6	12	4	0
TCGA-44-4112-01A-01D-1105-08	271	12	53	27	47	20	0
TCGA-44-4112-01A-01D-1458-08	273	41	52	22	43	19	0
