Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-G4-6297-01A-11D-1719-10	0	35	4	16	10	5	15	4
TCGA-G4-6298-01A-11D-1719-10	2	39	4	0	3	4	13	12
TCGA-G4-6299-01A-11D-1771-10	30	27	7	16	1	0	24	58
TCGA-G4-6303-01A-11D-1771-10	0	51	9	7	6	7	18	8
TCGA-G4-6304-01A-11D-1924-10	409	158	15	35	165	0	92	0
TCGA-G4-6306-01A-11D-1771-10	23	41	0	4	9	18	7	22
TCGA-G4-6307-01A-11D-1719-10	12	17	9	9	0	0	7	24
TCGA-G4-6309-01A-21D-1835-10	191	379	1	0	143	10	1	23
TCGA-G4-6310-01A-11D-1719-10	8	40	0	12	0	16	14	20
TCGA-G4-6311-01A-11D-1719-10	10	36	4	0	8	18	37	39
TCGA-G4-6314-01A-11D-1719-10	11	56	0	9	3	21	6	45
TCGA-G4-6315-01A-11D-1719-10	8	46	0	0	2	27	10	59
TCGA-G4-6317-01A-11D-1719-10	0	54	6	1	8	0	38	0
TCGA-G4-6317-02A-11D-2067-10	23	17	0	8	0	18	7	58
TCGA-G4-6320-01A-11D-1719-10	350	421	5	22	56	61	144	0
TCGA-G4-6321-01A-11D-1719-10	0	24	0	4	3	9	21	2
TCGA-G4-6323-01A-11D-1719-10	25	29	2	0	0	0	9	22
TCGA-G4-6586-01A-11D-1771-10	362	345	0	30	302	38	0	15
TCGA-G4-6588-01A-11D-1771-10	1036	200	0	55	614	45	50	23
TCGA-G4-6625-01A-21D-1771-10	2	25	0	5	7	5	17	51
TCGA-G4-6626-01A-11D-1771-10	17	74	0	0	0	0	43	6
TCGA-G4-6627-01A-11D-2188-10	0	29	0	0	4	23	1	32
TCGA-G4-6628-01A-11D-1835-10	1273	293	49	0	130	0	198	0
TCGA-NH-A50T-01A-11D-A28G-10	0	74	6	23	7	9	26	3
TCGA-NH-A50V-01A-11D-A28G-10	18	66	0	0	2	35	13	36
TCGA-NH-A6GA-01A-11D-A36X-10	0	32	3	8	3	3	28	14
TCGA-NH-A6GB-01A-11D-A36X-10	10	55	2	10	11	7	55	16
TCGA-NH-A8F7-06A-31D-A40P-10	0	43	0	13	6	25	13	10
TCGA-NH-A8F8-01A-72D-A40P-10	14	47	0	0	1	1	37	5
TCGA-QG-A5YV-01A-11D-A28G-10	21	55	4	8	0	17	23	43
TCGA-QG-A5YW-01A-11D-A28G-10	12	43	7	2	22	22	23	31
TCGA-QG-A5YX-01A-11D-A28G-10	0	58	1	0	8	11	15	3
TCGA-QG-A5Z2-01A-11D-A28G-10	453	269	9	25	185	34	53	11
TCGA-QL-A97D-01A-12D-A40P-10	41	45	16	13	10	18	21	70
TCGA-SS-A7HO-01A-21D-A36X-10	12	49	0	0	11	22	27	51
TCGA-T9-A92H-01A-11D-A36X-10	32	26	9	5	0	0	27	87
