Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-62-8402-01A-11D-2323-08	0	7	0	7	1	17	5	16	4
TCGA-62-A46O-01A-11D-A24D-08	352	107	111	141	76	47	60	32	9
TCGA-62-A46P-01A-11D-A24D-08	128	55	53	5	0	0	15	27	1
TCGA-62-A46R-01A-11D-A24D-08	22	34	40	30	0	2	17	22	5
TCGA-62-A46S-01A-11D-A24D-08	24	30	22	14	4	0	0	20	12
TCGA-62-A46U-01A-11D-A24D-08	4	6	0	5	10	8	0	11	0
TCGA-62-A46V-01A-11D-A24D-08	0	0	18	8	0	6	2	18	5
TCGA-62-A46Y-01A-11D-A24D-08	4	0	0	0	4	7	0	9	8
TCGA-62-A471-01A-12D-A24D-08	0	0	12	56	20	0	18	14	3
TCGA-62-A472-01A-11D-A24D-08	0	19	0	5	0	15	6	8	4
TCGA-64-1676-01A-01D-0969-08	318	113	2	6	25	125	22	12	5
TCGA-64-1676-01A-01W-0928-08	296	132	0	9	18	118	18	11	3
TCGA-64-1677-01A-01W-0928-08	0	61	5	53	68	0	10	17	0
TCGA-64-1678-01A-01W-0928-08	283	29	0	39	0	56	13	7	10
TCGA-64-1679-01A-21D-2063-08	230	137	29	17	56	47	0	9	2
TCGA-64-1680-01A-02D-0969-08	0	0	0	9	14	16	0	13	0
TCGA-64-1680-01A-02W-0928-08	1	0	4	10	5	10	0	12	4
TCGA-64-1681-01A-11D-2063-08	0	2	0	6	23	8	0	4	22
TCGA-64-5774-01A-01D-1625-08	56	31	23	3	7	0	10	14	0
TCGA-64-5775-01A-01D-1625-08	259	87	43	22	0	50	12	30	3
TCGA-64-5778-01A-01D-1625-08	267	46	0	35	0	82	41	13	2
TCGA-64-5781-01A-01D-1625-08	429	275	30	123	40	210	11	20	14
TCGA-64-5815-01A-01D-1625-08	49	45	28	0	13	24	0	22	0
TCGA-67-3770-01A-01D-0969-08	93	47	0	7	0	30	41	13	2
TCGA-67-3770-01A-01W-0928-08	95	38	0	6	11	22	39	14	1
TCGA-67-3771-01A-01D-1040-01	231	126	113	254	248	44	88	30	6
TCGA-67-3771-01A-01W-0928-08	169	165	147	249	256	70	78	28	19
TCGA-67-3773-01A-01D-1040-01	24	45	0	5	0	3	8	14	3
