Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-55-6984-01A-11D-1945-08	0	0	6	1	0	5	5	3	0
TCGA-55-6985-01A-11D-1945-08	157	59	172	0	28	0	22	19	1
TCGA-55-6986-01A-11D-1945-08	0	0	0	0	3	3	8	4	0
TCGA-55-6987-01A-11D-1945-08	24	0	47	32	74	0	0	6	0
TCGA-55-7281-01A-11D-2036-08	126	155	22	31	25	74	19	7	3
TCGA-55-7283-01A-11D-2036-08	39	38	14	32	39	15	0	40	11
TCGA-55-7284-01B-11D-2238-08	0	3	0	0	6	8	0	20	6
TCGA-55-7570-01A-11D-2036-08	49	83	27	36	153	5	32	2	6
TCGA-55-7573-01A-11D-2036-08	0	12	15	5	3	11	4	0	1
TCGA-55-7574-01A-11D-2036-08	24	0	26	69	113	0	0	1	0
TCGA-55-7576-01A-11D-2063-08	145	73	9	18	4	91	31	20	5
TCGA-55-7724-01A-11D-2167-08	0	33	35	29	4	26	55	23	6
TCGA-55-7725-01A-11D-2167-08	49	45	0	2	6	11	15	9	4
TCGA-55-7726-01A-11D-2167-08	0	0	0	34	67	0	0	14	0
TCGA-55-7727-01A-11D-2167-08	53	64	0	91	14	11	8	16	8
TCGA-55-7903-01A-11D-2167-08	23	29	38	19	2	0	15	27	3
TCGA-55-7907-01A-11D-2167-08	579	181	57	158	161	57	16	22	0
TCGA-55-7910-01A-11D-2167-08	135	30	80	5	0	46	0	27	0
TCGA-55-7911-01A-11D-2167-08	34	103	17	12	21	42	2	11	1
TCGA-55-7913-01B-11D-2238-08	115	76	45	31	20	21	17	22	7
TCGA-55-7914-01A-11D-2167-08	77	0	0	18	16	23	22	26	0
TCGA-55-7994-01A-11D-2184-08	556	418	347	76	36	45	92	62	4
TCGA-55-7995-01A-11D-2184-08	326	0	18	76	76	119	57	1	29
TCGA-55-8085-01A-11D-2238-08	80	0	0	106	44	32	1	23	0
TCGA-55-8087-01A-11D-2238-08	0	2	0	6	2	4	1	12	0
TCGA-55-8089-01A-11D-2238-08	455	134	108	318	211	53	0	23	3
TCGA-55-8090-01A-11D-2238-08	0	37	26	2	0	6	15	6	0
TCGA-55-8091-01A-11D-2238-08	0	1	1	1	0	0	0	18	0
TCGA-55-8092-01A-11D-2238-08	134	115	106	137	0	23	17	56	14
TCGA-55-8094-01A-11D-2238-08	183	101	85	17	0	16	22	20	33
TCGA-55-8096-01A-11D-2238-08	34	31	16	1	20	28	0	15	5
TCGA-55-8097-01A-11D-2238-08	13	19	27	9	2	8	0	34	1
TCGA-55-8203-01A-11D-2238-08	195	83	84	0	11	39	8	31	1
TCGA-55-8204-01A-11D-2238-08	0	59	14	61	56	10	16	16	0
TCGA-55-8206-01A-11D-2238-08	0	1	7	4	0	0	0	11	3
TCGA-55-8208-01A-11D-2238-08	25	0	38	115	116	9	28	5	2
TCGA-55-8299-01A-11D-2284-08	1	71	88	12	0	0	14	0	4
TCGA-55-8301-01A-11D-2284-08	133	6	0	17	36	54	33	6	9
TCGA-55-8506-01A-11D-2393-08	647	232	219	28	0	2	131	484	17
TCGA-55-8507-01A-11D-2393-08	605	0	128	29	15	146	55	36	20
TCGA-55-8510-01A-11D-2393-08	94	105	30	12	40	26	7	7	3
TCGA-55-8511-01A-11D-2393-08	226	82	68	72	10	47	27	26	26
TCGA-55-8512-01A-11D-2393-08	8	5	0	3	2	17	5	0	0
TCGA-55-8514-01A-11D-2393-08	77	94	33	2	16	43	0	31	0
TCGA-55-8614-01A-11D-2393-08	0	71	8	9	66	28	20	45	0
TCGA-55-8615-01A-11D-2393-08	0	48	19	0	17	15	9	8	11
TCGA-55-8616-01A-11D-2393-08	291	67	49	5	34	30	9	37	1
TCGA-55-8620-01A-11D-2393-08	235	24	53	16	16	103	33	36	6
TCGA-55-8621-01A-11D-2393-08	15	6	14	2	6	0	5	5	0
TCGA-55-A48X-01A-11D-A24D-08	232	14	0	17	35	76	7	4	3
TCGA-55-A48Y-01A-11D-A24D-08	0	0	0	240	113	0	0	15	0
TCGA-55-A48Z-01A-12D-A24P-08	4	7	8	3	3	5	8	14	5
TCGA-55-A490-01A-11D-A24D-08	587	387	187	99	38	13	24	32	4
TCGA-55-A491-01A-11D-A24D-08	153	71	48	24	25	6	35	21	12
TCGA-55-A492-01A-11D-A24D-08	117	42	7	17	0	52	40	10	5
TCGA-55-A493-01A-11D-A24D-08	100	18	1	70	0	36	22	17	4
TCGA-55-A494-01A-11D-A24P-08	92	33	20	5	27	16	0	45	10
TCGA-55-A4DF-01A-11D-A24D-08	87	0	0	427	295	0	0	30	0
TCGA-55-A4DG-01A-11D-A24D-08	422	26	31	0	101	81	41	21	0
TCGA-55-A57B-01A-12D-A397-08	3	0	3	7	0	4	3	16	1
TCGA-62-8394-01A-11D-2323-08	0	25	0	22	57	0	1	17	15
TCGA-62-8395-01A-11D-2323-08	0	0	2	8	25	11	0	25	2
TCGA-62-8397-01A-11D-2323-08	1	0	10	3	0	0	0	8	3
TCGA-62-8398-01A-11D-2323-08	22	14	7	11	0	0	12	11	7
TCGA-62-8399-01A-21D-2323-08	164	0	37	145	160	0	0	39	4
