Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-67-3774-01A-01W-0928-08	39	50	4	8	2
TCGA-67-4679-01B-01D-1753-08	190	44	13	26	19
TCGA-67-6215-01A-11D-1753-08	0	0	0	0	109
TCGA-67-6216-01A-11D-1753-08	0	12	9	3	2
TCGA-67-6217-01A-11D-1753-08	130	15	8	16	23
TCGA-69-7760-01A-11D-2167-08	15	0	5	23	28
TCGA-69-7764-01A-11D-2167-08	21	32	9	24	5
TCGA-69-7765-01A-11D-2167-08	443	91	67	6	33
TCGA-69-7973-01A-11D-2184-08	212	0	15	35	3
TCGA-69-7974-01A-11D-2184-08	335	107	38	48	0
TCGA-69-7978-01A-11D-2184-08	314	81	184	37	0
TCGA-69-8253-01A-11D-2284-08	87	18	25	20	17
TCGA-69-8254-01A-11D-2284-08	16	23	4	21	11
TCGA-69-8255-01A-11D-2284-08	109	81	43	28	39
TCGA-69-A59K-01A-11D-A25L-08	389	0	58	55	6
TCGA-71-6725-01A-11D-1855-08	4	8	7	36	2
TCGA-71-8520-01A-11D-2393-08	21	0	18	41	12
TCGA-73-4658-01A-01D-1753-08	134	0	134	13	51
TCGA-73-4659-01A-01D-1265-08	132	48	11	21	10
TCGA-73-4662-01A-01D-1265-08	124	56	20	13	0
TCGA-73-4670-01A-01D-1265-08	200	50	19	27	70
TCGA-73-4675-01A-01D-1265-08	10	31	4	17	7
TCGA-73-4676-01A-01D-1753-08	25	29	4	19	21
TCGA-73-4677-01A-01D-1265-08	163	39	20	27	16
TCGA-73-7498-01A-12D-2184-08	55	28	3	22	9
TCGA-75-5122-01A-01D-1753-08	42	44	25	23	0
TCGA-75-5125-01A-01D-1753-08	55	33	44	23	9
TCGA-75-5126-01A-01D-1753-08	356	51	174	30	11
TCGA-75-5146-01A-01D-1625-08	133	35	14	5	6
TCGA-75-5147-01A-01D-1625-08	0	9	11	11	5
TCGA-75-6203-01A-11D-1753-08	1	0	0	12	0
TCGA-75-6205-01A-11D-1753-08	1	24	4	3	11
TCGA-75-6206-01A-11D-1753-08	34	46	11	1	0
TCGA-75-6207-01A-11D-1753-08	8	20	15	13	2
TCGA-75-6211-01A-11D-1753-08	253	84	24	25	6
TCGA-75-6214-01A-41D-1945-08	352	161	184	38	0
TCGA-75-7025-01A-12D-1945-08	0	0	8	18	4
TCGA-75-7027-01A-11D-1945-08	140	69	14	24	3
TCGA-75-7030-01A-11D-1945-08	3	0	0	4	1
TCGA-78-7145-01A-11D-2036-08	125	30	15	23	4
TCGA-78-7146-01A-11D-2036-08	189	34	99	45	15
TCGA-78-7147-01A-11D-2036-08	146	91	58	29	39
TCGA-78-7148-01A-11D-2036-08	110	69	12	9	20
TCGA-78-7149-01A-11D-2036-08	34	11	78	17	8
TCGA-78-7150-01A-21D-2036-08	122	94	154	38	27
TCGA-78-7152-01A-11D-2036-08	65	38	86	10	7
TCGA-78-7153-01A-11D-2036-08	16	29	27	20	12
TCGA-78-7154-01A-11D-2036-08	41	35	113	52	25
TCGA-78-7155-01A-11D-2036-08	1081	173	139	66	121
TCGA-78-7160-01A-11D-2036-08	0	28	6	5	2
TCGA-78-7161-01A-11D-2036-08	114	33	15	25	11
TCGA-78-7162-01A-21D-2063-08	26	37	17	6	1
TCGA-78-7163-01A-12D-2063-08	3	0	0	10	6
TCGA-78-7166-01A-12D-2063-08	189	1	6	11	33
TCGA-78-7167-01A-11D-2063-08	34	0	30	23	13
TCGA-78-7220-01A-11D-2036-08	486	172	129	28	74
TCGA-78-7535-01A-11D-2063-08	87	30	2	8	57
TCGA-78-7536-01A-11D-2063-08	425	93	21	36	78
TCGA-78-7539-01A-11D-2063-08	111	67	294	43	0
TCGA-78-7540-01A-11D-2063-08	4	4	1	21	0
TCGA-78-7542-01A-21D-2063-08	273	0	35	35	42
TCGA-78-7633-01A-11D-2063-08	56	40	8	5	0
TCGA-78-8640-01A-11D-2393-08	371	117	133	64	72
TCGA-78-8648-01A-11D-2393-08	4	2	0	0	1
TCGA-78-8655-01A-11D-2393-08	42	34	8	17	4
TCGA-78-8662-01A-11D-2393-08	765	199	109	57	96
TCGA-80-5607-01A-31D-1945-08	0	0	121	6	4
TCGA-80-5608-01A-31D-1945-08	111	29	14	26	0
TCGA-80-5611-01A-01D-1625-08	57	77	9	18	37
TCGA-83-5908-01A-21D-2284-08	98	40	90	17	0
TCGA-86-6562-01A-11D-1753-08	8	6	14	17	8
TCGA-86-6851-01A-11D-1945-08	561	238	117	2	0
TCGA-86-7701-01A-11D-2167-08	133	29	6	21	15
TCGA-86-7711-01A-11D-2063-08	81	49	51	24	26
TCGA-86-7713-01A-11D-2063-08	80	57	10	12	1
TCGA-86-7954-01A-11D-2184-08	80	59	39	39	3
TCGA-86-7955-01A-11D-2184-08	163	53	39	30	43
TCGA-86-8055-01A-11D-2238-08	0	8	7	19	10
TCGA-86-8056-01A-11D-2238-08	59	13	167	28	20
TCGA-86-8073-01A-11D-2238-08	1176	152	127	51	47
TCGA-86-8074-01A-11D-2238-08	11	14	6	13	27
TCGA-86-8075-01A-11D-2238-08	2	5	3	25	7
TCGA-86-8076-01A-31D-2238-08	11	19	24	13	0
TCGA-86-8279-01A-11D-2284-08	394	53	23	29	44
TCGA-86-8280-01A-11D-2284-08	0	32	3	13	0
TCGA-86-8281-01A-11D-2284-08	157	44	32	34	0
TCGA-86-8359-01A-11D-2323-08	111	8	11	27	13
TCGA-86-8585-01A-11D-2393-08	322	134	112	22	4
TCGA-86-8668-01A-11D-2393-08	3	0	6	16	6
TCGA-86-8671-01A-11D-2393-08	4	8	4	8	9
TCGA-86-8672-01A-21D-2393-08	174	47	43	28	23
TCGA-86-8673-01A-11D-2393-08	258	153	43	22	13
TCGA-86-8674-01A-21D-2393-08	220	7	42	10	25
TCGA-86-A456-01A-11D-A24D-08	238	42	36	24	24
TCGA-86-A4JF-01A-11D-A24P-08	282	229	116	542	153
TCGA-86-A4P7-01A-11D-A24P-08	1	28	25	6	0
TCGA-91-6828-01A-11D-1855-08	190	29	31	24	2
