Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-D5-6924-01A-11D-1924-10	0	38	5	3	26	68
TCGA-D5-6926-01A-11D-1924-10	0	41	0	5	18	48
TCGA-D5-6927-01A-21D-1924-10	295	78	0	7	271	0
TCGA-D5-6931-01A-11D-1924-10	53	27	5	36	44	157
TCGA-D5-6932-01A-11D-1924-10	9	32	12	0	16	63
TCGA-DM-A0X9-01A-11D-A152-10	10	56	8	28	5	84
TCGA-DM-A0XD-01A-12D-A152-10	18	60	5	18	0	70
TCGA-DM-A0XF-01A-11D-A152-10	0	2	3	18	30	78
TCGA-DM-A1D0-01A-11D-A152-10	0	40	3	6	12	63
TCGA-DM-A1D4-01A-21D-A152-10	12	101	12	0	12	50
TCGA-DM-A1D8-01A-11D-A152-10	20	32	6	15	20	70
TCGA-DM-A1D9-01A-11D-A152-10	0	24	7	8	23	72
TCGA-DM-A1DA-01A-11D-A152-10	61	49	12	10	0	165
TCGA-DM-A1DB-01A-11D-A152-10	2	22	2	5	4	26
TCGA-DM-A1HA-01A-11D-A152-10	15	63	7	0	5	60
TCGA-DM-A28C-01A-11D-A16V-10	9	41	4	0	0	48
TCGA-DM-A28E-01A-11D-A16V-10	0	21	5	6	34	16
TCGA-DM-A28F-01A-11D-A16V-10	44	27	16	20	2	139
TCGA-DM-A28G-01A-11D-A16V-10	8	46	1	7	23	44
TCGA-DM-A28H-01A-11D-A16V-10	19	33	4	11	0	53
TCGA-DM-A28M-01A-12D-A16V-10	9	46	1	8	0	29
TCGA-F4-6459-01A-11D-1771-10	0	18	0	24	23	62
TCGA-F4-6460-01A-11D-1771-10	15	31	11	16	12	71
TCGA-F4-6461-01A-11D-1771-10	33	39	3	11	5	58
TCGA-F4-6569-01A-11D-1771-10	0	25	11	12	17	56
TCGA-F4-6570-01A-11D-1771-10	799	353	9	67	211	168
TCGA-F4-6805-01A-11D-1835-10	3	29	2	0	18	19
TCGA-F4-6806-01A-11D-1835-10	3	54	6	2	6	37
TCGA-F4-6807-01A-11D-1835-10	20	8	10	1	32	102
TCGA-F4-6808-01A-11D-1835-10	0	61	5	2	17	53
TCGA-F4-6854-01A-11D-1924-10	3	13	0	10	26	67
TCGA-F4-6855-01A-11D-1924-10	9	34	4	7	0	55
TCGA-G4-6293-01A-11D-1719-10	7	37	7	5	12	54
TCGA-G4-6294-01A-11D-1806-10	45	31	4	11	0	69
TCGA-G4-6295-01A-11D-1719-10	12	26	1	17	26	69
TCGA-G4-6297-01A-11D-1719-10	0	33	3	17	14	22
TCGA-G4-6298-01A-11D-1719-10	0	43	5	0	3	26
