Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-CM-6170-01A-11D-1650-10	12	27	4	0	2	33	20
TCGA-CM-6171-01A-11D-1650-10	355	445	0	0	254	117	0
TCGA-CM-6172-01A-11D-1650-10	8	30	19	1	0	33	15
TCGA-CM-6674-01A-11D-1835-10	280	343	0	0	179	0	27
TCGA-CM-6675-01A-11D-1835-10	10	23	0	1	0	26	18
TCGA-CM-6676-01A-11D-1835-10	14	36	20	1	0	2	31
TCGA-CM-6677-01A-11D-1835-10	25	64	6	11	0	12	24
TCGA-CM-6678-01A-11D-1835-10	10	69	0	0	7	58	0
TCGA-CM-6679-01A-11D-1835-10	26	19	3	0	0	1	18
TCGA-CM-6680-01A-11D-1835-10	0	37	17	0	2	26	8
TCGA-D5-5537-01A-21D-1924-10	23	33	9	5	0	34	0
TCGA-D5-5538-01A-01D-1650-10	0	28	3	0	35	48	2
TCGA-D5-5540-01A-01D-1650-10	0	50	13	1	0	24	31
TCGA-D5-5541-01A-01D-1650-10	0	29	8	0	1	26	0
TCGA-D5-6529-01A-11D-1771-10	10	49	13	4	11	26	0
TCGA-D5-6530-01A-11D-1719-10	399	336	0	0	195	52	8
TCGA-D5-6531-01A-11D-1719-10	2	79	14	9	4	42	40
TCGA-D5-6532-01A-11D-1719-10	3	29	16	5	0	15	56
TCGA-D5-6533-01A-11D-1719-10	0	22	27	1	20	41	66
TCGA-D5-6535-01A-11D-1719-10	9	25	11	11	0	56	64
TCGA-D5-6536-01A-11D-1719-10	19	28	7	0	1	6	36
TCGA-D5-6537-01A-11D-1719-10	0	42	6	9	17	38	0
TCGA-D5-6538-01A-11D-1719-10	31	61	13	0	0	14	28
TCGA-D5-6539-01A-11D-1719-10	3	20	9	3	10	16	38
TCGA-D5-6541-01A-11D-1719-10	0	56	0	0	10	12	18
TCGA-D5-6898-01A-11D-1924-10	6	33	0	6	0	6	31
TCGA-D5-6920-01A-11D-1924-10	16	36	6	1	0	21	34
TCGA-D5-6922-01A-11D-1924-10	14	37	12	0	0	4	40
TCGA-D5-6924-01A-11D-1924-10	0	39	1	4	21	59	16
TCGA-D5-6926-01A-11D-1924-10	0	35	5	0	9	20	43
TCGA-D5-6927-01A-21D-1924-10	294	101	0	0	255	0	1
TCGA-D5-6931-01A-11D-1924-10	25	6	37	0	39	5	210
TCGA-D5-6932-01A-11D-1924-10	6	24	2	10	10	22	58
TCGA-DM-A0X9-01A-11D-A152-10	14	49	29	7	0	62	30
TCGA-DM-A0XD-01A-12D-A152-10	24	55	18	5	0	56	13
TCGA-DM-A0XF-01A-11D-A152-10	2	1	16	2	15	66	29
TCGA-DM-A1D0-01A-11D-A152-10	0	27	7	2	8	13	67
TCGA-DM-A1D4-01A-21D-A152-10	17	96	0	11	7	35	21
TCGA-DM-A1D8-01A-11D-A152-10	16	23	16	4	11	22	71
TCGA-DM-A1D9-01A-11D-A152-10	0	18	8	6	12	40	50
TCGA-DM-A1DA-01A-11D-A152-10	54	34	12	10	1	88	98
TCGA-DM-A1DB-01A-11D-A152-10	2	18	6	1	0	11	23
TCGA-DM-A1HA-01A-11D-A152-10	15	55	0	7	0	27	46
TCGA-DM-A28C-01A-11D-A16V-10	9	34	0	4	0	20	35
TCGA-DM-A28E-01A-11D-A16V-10	0	22	4	3	27	19	7
TCGA-DM-A28F-01A-11D-A16V-10	26	7	25	12	1	17	160
TCGA-DM-A28G-01A-11D-A16V-10	10	46	4	0	19	42	8
TCGA-DM-A28H-01A-11D-A16V-10	14	24	13	3	0	6	60
TCGA-DM-A28M-01A-12D-A16V-10	11	43	9	1	0	17	12
TCGA-F4-6459-01A-11D-1771-10	0	13	24	0	10	24	56
TCGA-F4-6460-01A-11D-1771-10	15	25	17	9	6	41	43
TCGA-F4-6461-01A-11D-1771-10	34	35	11	2	7	41	19
TCGA-F4-6569-01A-11D-1771-10	0	15	13	8	10	8	67
TCGA-F4-6570-01A-11D-1771-10	786	322	53	0	218	125	103
TCGA-F4-6805-01A-11D-1835-10	2	27	0	1	13	15	13
TCGA-F4-6806-01A-11D-1835-10	5	51	2	5	5	21	19
TCGA-F4-6807-01A-11D-1835-10	22	5	0	9	23	82	32
TCGA-F4-6808-01A-11D-1835-10	3	59	1	4	9	46	16
TCGA-F4-6854-01A-11D-1924-10	5	13	7	0	15	60	19
TCGA-F4-6855-01A-11D-1924-10	10	28	7	3	0	32	29
TCGA-G4-6293-01A-11D-1719-10	11	36	4	7	8	46	10
TCGA-G4-6294-01A-11D-1806-10	28	13	14	2	0	0	103
TCGA-G4-6295-01A-11D-1719-10	4	18	16	0	21	21	71
TCGA-G4-6297-01A-11D-1719-10	0	35	17	2	11	24	0
TCGA-G4-6298-01A-11D-1719-10	2	41	0	5	1	17	11
TCGA-G4-6299-01A-11D-1771-10	28	28	18	3	0	18	68
TCGA-G4-6303-01A-11D-1771-10	0	51	9	8	4	34	0
TCGA-G4-6304-01A-11D-1924-10	433	177	12	0	160	92	0
TCGA-G4-6306-01A-11D-1771-10	25	43	4	3	9	14	26
TCGA-G4-6307-01A-11D-1719-10	12	17	11	7	0	18	13
TCGA-G4-6309-01A-21D-1835-10	174	392	0	0	123	18	41
TCGA-G4-6310-01A-11D-1719-10	10	44	13	3	0	19	21
TCGA-G4-6311-01A-11D-1719-10	15	37	0	9	5	58	28
TCGA-G4-6314-01A-11D-1719-10	10	58	9	5	7	8	54
TCGA-G4-6315-01A-11D-1719-10	10	51	0	9	0	24	58
TCGA-G4-6317-01A-11D-1719-10	0	50	2	4	6	45	0
TCGA-G4-6317-02A-11D-2067-10	24	22	8	6	0	6	65
TCGA-G4-6320-01A-11D-1719-10	377	438	16	21	24	183	0
TCGA-G4-6321-01A-11D-1719-10	3	23	5	2	0	30	0
TCGA-G4-6323-01A-11D-1719-10	23	28	0	2	0	11	23
TCGA-G4-6586-01A-11D-1771-10	354	370	0	0	315	5	48
TCGA-G4-6588-01A-11D-1771-10	1069	239	0	0	580	36	99
TCGA-G4-6625-01A-21D-1771-10	3	26	4	0	4	30	45
TCGA-G4-6626-01A-11D-1771-10	17	71	0	0	0	50	2
TCGA-G4-6627-01A-11D-2188-10	0	34	0	6	3	17	29
TCGA-G4-6628-01A-11D-1835-10	1390	360	0	43	0	118	32
TCGA-NH-A50T-01A-11D-A28G-10	0	71	25	4	5	43	0
TCGA-NH-A50V-01A-11D-A28G-10	22	71	0	13	0	25	39
TCGA-NH-A6GA-01A-11D-A36X-10	1	31	9	2	0	42	6
TCGA-NH-A6GB-01A-11D-A36X-10	12	51	11	2	10	54	26
TCGA-NH-A8F7-06A-31D-A40P-10	1	45	15	4	10	26	9
TCGA-NH-A8F8-01A-72D-A40P-10	15	42	0	0	0	48	0
TCGA-QG-A5YV-01A-11D-A28G-10	21	57	9	8	0	24	52
TCGA-QG-A5YW-01A-11D-A28G-10	15	44	3	10	21	43	26
TCGA-QG-A5YX-01A-11D-A28G-10	0	59	0	5	5	27	0
TCGA-QG-A5Z2-01A-11D-A28G-10	476	296	0	0	182	75	10
TCGA-QL-A97D-01A-12D-A40P-10	39	49	16	17	6	27	80
TCGA-SS-A7HO-01A-21D-A36X-10	15	51	0	6	4	53	43
TCGA-T9-A92H-01A-11D-A36X-10	27	25	6	5	0	21	102
