"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"CRTC1",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"DENND2B",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"DIAPH1",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"JRKL",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"KCNQ1",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"KIAA0753",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"PIPOX",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"SAFB2",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"SRRM1",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"THOC5",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"ZNF19",2,12,0.000450035498010286,0.10453878977325,0.473956469660413,0.0112835967139993,0.0223517630678442
"OR4N5",20,1,0.000465717354526554,13.3632357822979,555.065529972325,2.1172977568403,0.022389103883698
"NLRP14",41,8,0.000476595925810719,3.4996287029596,8.75491130726392,1.59342737285367,0.022389103883698
"VPS13A",16,29,0.000498891492296467,0.33682605955065,0.652852248959125,0.16800279006618,0.022389103883698
"ATAD5",9,22,0.000502359034547583,0.251973780656053,0.577926984567243,0.100817691015022,0.022389103883698
"CEP70",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
"IFT80",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
"LONRF2",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
"MITF",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
"MLH1",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
"PPP6R2",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
"RNF6",3,14,0.000505072848852964,0.133790832394161,0.484512119461047,0.0244615911690352,0.022389103883698
