"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"BRCA2",5,3,1,0,20,4,0,1,0,34,23,23
"CDH2",0,0,0,0,33,1,0,0,0,34,23,23
"PTEN",10,2,0,0,12,8,0,2,0,34,23,23
"PCDHA2",1,0,0,0,31,0,0,0,0,32,23,23
"TEX15",5,1,0,0,23,3,0,0,0,32,23,23
"ADGRB3",0,0,0,0,27,3,0,1,0,31,23,23
"MKI67",2,1,0,0,28,0,0,0,0,31,23,23
"SMARCAD1",7,1,0,0,18,2,0,3,0,31,23,23
"TCF20",10,3,0,0,16,2,0,0,0,31,23,23
"ABCA4",1,0,0,0,21,8,0,0,0,30,23,23
"TIAM1",1,0,0,0,24,5,0,0,0,30,23,23
"ZNF804B",0,2,0,0,26,2,0,0,0,30,23,23
"DAPK1",5,2,0,0,19,3,0,0,0,29,23,23
"FLNB",7,5,0,0,15,2,0,0,0,29,23,23
"PKDREJ",2,1,0,0,24,2,0,0,0,29,23,23
"EIF3A",0,0,3,0,23,2,0,0,0,28,23,23
"NCOR2",8,0,1,0,19,0,0,0,0,28,23,23
"ADAMTS9",2,0,0,0,22,3,0,0,0,27,23,23
"ARID1B",2,1,0,0,20,4,0,0,0,27,23,23
"CHD3",10,0,0,0,14,2,0,0,0,26,23,23
"CPAMD8",7,1,0,0,18,0,0,0,0,26,23,23
"DLGAP2",0,0,0,0,24,1,0,1,0,26,23,23
"FASN",2,0,0,0,23,1,0,0,0,26,23,23
"IRS4",4,2,0,0,20,0,0,0,0,26,23,23
"BRINP3",1,0,0,0,24,0,0,0,0,25,23,23
"COL4A5",1,0,0,0,16,8,0,0,0,25,23,23
"DOCK8",3,1,0,0,20,0,0,1,0,25,23,23
"FMN2",2,0,0,0,23,0,0,0,0,25,23,23
"KIF26B",1,0,0,0,24,0,0,0,0,25,23,23
"MAP2K4",2,0,1,0,16,4,0,2,0,25,23,23
"THSD7B",5,0,0,0,17,2,1,0,0,25,23,23
"ZBTB20",14,0,0,0,11,0,0,0,0,25,23,23
"ACACB",1,1,1,1,19,1,0,0,0,24,23,23
"MYH13",1,0,0,0,21,2,0,0,0,24,23,23
"NRXN2",2,0,0,0,20,0,0,2,0,24,23,23
"PCDHA1",0,0,0,0,22,1,0,0,0,23,23,23
"MYH8",0,0,0,0,33,0,0,1,0,34,22,22
"NUP205",1,1,1,0,19,8,0,2,0,32,22,22
"MYH6",0,0,0,0,29,1,0,1,0,31,22,22
"USP34",2,2,0,0,23,4,0,0,0,31,22,22
"KDR",1,1,0,0,23,5,0,0,0,30,22,22
"MYO16",5,0,0,0,23,2,0,0,0,30,22,22
"PCDH18",1,1,0,0,27,0,0,1,0,30,22,22
"MTCL1",4,0,0,0,24,1,0,0,0,29,22,22
"ABCA2",2,0,0,0,26,0,0,0,0,28,22,22
"ATAD5",5,2,0,0,19,1,0,1,0,28,22,22
"PKD1",1,0,1,0,26,0,0,0,0,28,22,22
"COL14A1",1,2,1,0,22,1,0,0,0,27,22,22
"DLGAP3",11,0,0,0,16,0,0,0,0,27,22,22
"PRUNE2",1,0,1,0,24,1,0,0,0,27,22,22
"STAB1",4,0,0,0,21,2,0,0,0,27,22,22
