Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS40a	SBS54
TCGA-CK-5916-01A-11D-1650-10	436	354	0	0	464	0	0	131
TCGA-CK-6746-01A-11D-1835-10	206	235	0	0	414	131	0	138
TCGA-CK-6747-01A-11D-1835-10	65	12	0	19	30	0	0	0
TCGA-CM-4743-01A-01D-1719-10	348	175	0	0	290	191	0	110
TCGA-CM-4744-01A-01D-1408-10	84	65	0	0	0	0	0	0
TCGA-CM-4746-01A-01D-1408-10	333	69	0	0	320	0	0	0
TCGA-CM-4747-01A-01D-1408-10	42	26	0	0	32	0	0	0
TCGA-CM-4751-01A-02D-1835-10	41	19	0	0	34	0	0	0
TCGA-CM-4752-01A-01D-1408-10	71	46	0	14	0	0	0	0
TCGA-CM-5341-01A-01D-1408-10	86	11	0	0	0	0	64	0
TCGA-CM-5348-01A-21D-1719-10	73	12	0	27	0	0	75	0
TCGA-CM-5349-01A-21D-1719-10	53	35	0	16	0	0	0	0
TCGA-CM-5860-01A-01D-1650-10	61	42	0	14	0	0	0	0
TCGA-CM-5861-01A-01D-1650-10	197	363	0	0	506	200	0	146
TCGA-CM-5862-01A-01D-1650-10	47	44	0	0	0	0	0	0
TCGA-CM-5864-01A-01D-1650-10	55	73	0	0	0	0	79	0
TCGA-CM-5868-01A-01D-1650-10	40	28	0	0	0	0	32	0
TCGA-CM-6161-01A-11D-1650-10	51	48	0	0	0	0	0	0
TCGA-CM-6163-01A-11D-1650-10	48	58	0	0	0	0	0	0
TCGA-CM-6164-01A-11D-1650-10	21	45	0	10	0	0	0	0
TCGA-CM-6165-01A-11D-1650-10	43	0	0	0	0	0	66	0
TCGA-CM-6166-01A-11D-1650-10	23	15	0	0	46	0	0	0
TCGA-CM-6167-01A-11D-1650-10	43	36	0	0	0	0	0	0
TCGA-CM-6168-01A-11D-1650-10	65	117	0	0	38	0	0	0
TCGA-CM-6169-01A-11D-1650-10	53	37	0	0	22	0	0	0
TCGA-CM-6170-01A-11D-1650-10	34	64	0	0	0	0	0	0
TCGA-CM-6171-01A-11D-1650-10	460	273	0	0	263	175	0	0
TCGA-CM-6172-01A-11D-1650-10	34	32	0	16	24	0	0	0
TCGA-CM-6674-01A-11D-1835-10	332	226	0	0	271	0	0	0
TCGA-CM-6675-01A-11D-1835-10	29	49	0	0	0	0	0	0
TCGA-CM-6676-01A-11D-1835-10	39	12	0	16	37	0	0	0
TCGA-CM-6677-01A-11D-1835-10	62	33	0	0	47	0	0	0
TCGA-CM-6678-01A-11D-1835-10	78	66	0	0	0	0	0	0
TCGA-CM-6679-01A-11D-1835-10	16	21	0	0	30	0	0	0
TCGA-CM-6680-01A-11D-1835-10	44	34	0	12	0	0	0	0
TCGA-D5-5537-01A-21D-1924-10	36	39	0	0	29	0	0	0
TCGA-D5-5538-01A-01D-1650-10	44	72	0	0	0	0	0	0
TCGA-D5-5540-01A-01D-1650-10	64	55	0	0	0	0	0	0
TCGA-D5-5541-01A-01D-1650-10	33	21	0	10	0	0	0	0
TCGA-D5-6529-01A-11D-1771-10	54	45	0	14	0	0	0	0
TCGA-D5-6530-01A-11D-1719-10	347	212	0	0	303	128	0	0
TCGA-D5-6531-01A-11D-1719-10	99	11	0	0	0	0	80	0
TCGA-D5-6532-01A-11D-1719-10	51	19	0	0	0	0	54	0
TCGA-D5-6533-01A-11D-1719-10	56	39	0	22	0	0	60	0
TCGA-D5-6535-01A-11D-1719-10	55	12	0	0	0	0	109	0
TCGA-D5-6536-01A-11D-1719-10	34	35	0	0	28	0	0	0
TCGA-D5-6537-01A-11D-1719-10	60	32	6	14	0	0	0	0
TCGA-D5-6538-01A-11D-1719-10	58	40	0	0	49	0	0	0
TCGA-D5-6539-01A-11D-1719-10	36	18	0	0	0	0	45	0
TCGA-D5-6541-01A-11D-1719-10	66	30	0	0	0	0	0	0
TCGA-D5-6898-01A-11D-1924-10	42	0	0	0	0	0	40	0
TCGA-D5-6920-01A-11D-1924-10	43	6	0	0	27	0	38	0
TCGA-D5-6922-01A-11D-1924-10	40	37	0	0	30	0	0	0
TCGA-D5-6924-01A-11D-1924-10	55	29	0	0	0	0	56	0
TCGA-D5-6926-01A-11D-1924-10	52	60	0	0	0	0	0	0
TCGA-D5-6927-01A-21D-1924-10	138	100	0	0	222	98	0	93
TCGA-D5-6931-01A-11D-1924-10	92	230	0	0	0	0	0	0
TCGA-D5-6932-01A-11D-1924-10	46	30	0	0	0	0	56	0
TCGA-DM-A0X9-01A-11D-A152-10	73	94	0	24	0	0	0	0
TCGA-DM-A0XD-01A-12D-A152-10	58	77	0	0	36	0	0	0
TCGA-DM-A0XF-01A-11D-A152-10	25	0	0	13	0	0	93	0
TCGA-DM-A1D0-01A-11D-A152-10	54	23	0	0	0	0	47	0
TCGA-DM-A1D4-01A-21D-A152-10	98	51	0	0	38	0	0	0
TCGA-DM-A1D8-01A-11D-A152-10	54	109	0	0	0	0	0	0
TCGA-DM-A1D9-01A-11D-A152-10	40	32	0	0	0	0	62	0
TCGA-DM-A1DA-01A-11D-A152-10	76	34	0	0	54	0	133	0
TCGA-DM-A1DB-01A-11D-A152-10	27	34	0	0	0	0	0	0
TCGA-DM-A1HA-01A-11D-A152-10	62	52	0	0	36	0	0	0
TCGA-DM-A28C-01A-11D-A16V-10	48	0	0	0	0	0	54	0
TCGA-DM-A28E-01A-11D-A16V-10	31	51	0	0	0	0	0	0
TCGA-DM-A28F-01A-11D-A16V-10	62	80	0	0	0	0	106	0
TCGA-DM-A28G-01A-11D-A16V-10	61	68	0	0	0	0	0	0
TCGA-DM-A28H-01A-11D-A16V-10	37	0	0	0	29	0	54	0
TCGA-DM-A28M-01A-12D-A16V-10	44	26	0	0	23	0	0	0
TCGA-F4-6459-01A-11D-1771-10	36	16	0	18	0	0	57	0
TCGA-F4-6460-01A-11D-1771-10	47	51	0	0	0	0	58	0
TCGA-F4-6461-01A-11D-1771-10	46	71	0	0	32	0	0	0
TCGA-F4-6569-01A-11D-1771-10	47	14	0	0	0	0	60	0
TCGA-F4-6570-01A-11D-1771-10	376	405	0	0	587	239	0	0
TCGA-F4-6805-01A-11D-1835-10	35	36	0	0	0	0	0	0
TCGA-F4-6806-01A-11D-1835-10	57	15	0	0	0	0	36	0
TCGA-F4-6807-01A-11D-1835-10	37	0	0	0	0	39	97	0
TCGA-F4-6808-01A-11D-1835-10	78	60	0	0	0	0	0	0
TCGA-F4-6854-01A-11D-1924-10	32	30	0	0	0	0	57	0
TCGA-F4-6855-01A-11D-1924-10	42	15	0	0	0	0	52	0
TCGA-G4-6293-01A-11D-1719-10	44	78	0	0	0	0	0	0
TCGA-G4-6294-01A-11D-1806-10	36	21	0	0	47	0	56	0
TCGA-G4-6295-01A-11D-1719-10	51	39	0	0	0	0	61	0
TCGA-G4-6297-01A-11D-1719-10	46	25	0	18	0	0	0	0
TCGA-G4-6298-01A-11D-1719-10	44	0	0	0	0	0	33	0
TCGA-G4-6299-01A-11D-1771-10	41	82	0	0	40	0	0	0
TCGA-G4-6303-01A-11D-1771-10	60	29	5	12	0	0	0	0
TCGA-G4-6304-01A-11D-1924-10	186	336	0	0	352	0	0	0
TCGA-G4-6306-01A-11D-1771-10	49	40	0	0	35	0	0	0
TCGA-G4-6307-01A-11D-1719-10	21	23	4	11	19	0	0	0
TCGA-G4-6309-01A-21D-1835-10	383	163	0	0	202	0	0	0
TCGA-G4-6310-01A-11D-1719-10	48	26	0	12	24	0	0	0
TCGA-G4-6311-01A-11D-1719-10	53	31	0	0	0	0	68	0
TCGA-G4-6314-01A-11D-1719-10	74	44	0	0	33	0	0	0
TCGA-G4-6315-01A-11D-1719-10	73	9	0	0	0	0	70	0
TCGA-G4-6317-01A-11D-1719-10	59	9	0	0	0	0	39	0
TCGA-G4-6317-02A-11D-2067-10	33	15	0	0	38	0	45	0
